date,type,amount,memo
2016-08-06,credit,320.00,
2016-08-13,credit,10.00,
2016-08-14,credit,71.85,
2016-08-20,credit,10.00,
2016-08-27,credit,10.00,
2016-09-03,credit,10.00,
2016-11-14,debit,80.61,Rodgers Jersey
2017-01-21,debit,36.00,lighthouse siege lego
2017-02-13,credit,35.00,
2017-04-03,credit,5.00,
2017-04-16,credit,50.00,
2017-04-20,credit,1.00,
2017-04-21,credit,20.00,2 rolls of quarters
2017-04-21,credit,5.00,1 roll of dimes
2017-04-21,credit,3.00,6 rolls of pennies
2017-04-21,credit,10.00,closed bank of marin acct
2017-05-01,credit,9.00,lawn
2017-05-07,credit,9.00,lawn
2017-05-13,debit,10.00,fidget spinner
